home_team,away_team,tournament,start_time,kickoff
Manchester City,Huddersfield Town,fa,Wednesday 1st March 2017,19:45
Arsenal,Lincoln City,fa,Saturday 11th March 2017,17:30
Tottenham Hotspur,Millwall,fa,Sunday 12th March 2017,14:00
Chelsea,Manchester United,fa,Monday 13th March 2017,19:45
Manchester United,Bournemouth,premier-league,Saturday 4th March 2017,12:30
Leicester City,Hull City,premier-league,Saturday 4th March 2017,15:00
Stoke City,Middlesbrough,premier-league,Saturday 4th March 2017,15:00
Swansea City,Burnley,premier-league,Saturday 4th March 2017,15:00
Watford,Southampton,premier-league,Saturday 4th March 2017,15:00
West Bromwich Albion,Crystal Palace,premier-league,Saturday 4th March 2017,15:00
Liverpool,Arsenal,premier-league,Saturday 4th March 2017,17:30